Course Name,Link,Duration(Hr),Link_1
SSAS & SSIS,https://hclcontent.percipio.com/courses/0d615330-a91c-11e7-b050-7a420a93a8e4/videos/0d615331-a91c-11e7-b050-7a420a93a8e4,10,Percipio Course Data Flow Implementation & ETL
SSAS & SSIS,https://hclcontent.percipio.com/books/be318acb-0bf4-44b4-b6bb-8f87d49e1d0a,1,Percipio Book Mastering Microsoft Fabric: SAASification of Analytics
PubSub & Dataproc,https://hclcontent.percipio.com/linked-contents/e9179f8f-d020-4805-9c16-80edf4849815/landing,3,Percipio Course Build your first real-time chat app by using Azure Web PubSub and Azure Static Web …
PubSub & Dataproc,https://hclcontent.percipio.com/videos/e8df8c43-b99f-4ae0-9ba2-e3406cdb5141,,Percipio Video Using Spies to Test PubSub and jQuery
PubSub & Dataproc,https://hclcontent.percipio.com/linked-contents/865d730d-78fe-41c6-a661-8dc3e8202318/landing,,Percipio Course Introduction to Azure Web PubSub
PubSub & Dataproc,,,
PubSub & Dataproc,https://hclcontent.percipio.com/courses/0cbd7fe0-2c33-11e8-9603-d703fae020b1/videos/a1908080-2c39-11e8-9603-d703fae020b1,,Percipio Course Dataproc
PubSub & Dataproc,https://hclcontent.percipio.com/videos/39fe26eb-6de3-4f0f-abdf-51532cc58e6e,,Percipio Video Dataproc Troubleshooting
PubSub & Dataproc,https://hclcontent.percipio.com/videos/d3889c56-f246-4b06-9079-66dc796fec1c,,Percipio Video Characteristics of Dataproc
PubSub & Dataproc,https://hclcontent.percipio.com/videos/69f7c3cb-4e9e-4897-b3ef-7261a4d40e6a,,Percipio Video Dataproc Cluster Options
PubSub & Dataproc,https://hclcontent.percipio.com/videos/f670e52b-804e-420c-b6a2-1fc93019922c,,Percipio Video Reviewing Job Statuses with Dataproc
PubSub & Dataproc,https://hclcontent.percipio.com/videos/54e60e5f-40e6-4b8b-a43a-102d163c7496,,Percipio Video Key Advantages of Dataproc
PubSub & Dataproc,https://hclcontent.percipio.com/videos/90621a70-fc23-4204-8076-7d5d1f0a8a7a,,Percipio Video Control Resources in Dataproc Clusters
PubSub & Dataproc,https://hclcontent.percipio.com/courses/3b6bbc60-3739-11e8-bd4d-21899f20f798/videos/c24622c0-3739-11e8-bd4d-21899f20f798,,Percipio Course Dataproc Architecture
Data Science,https://hclcontent.percipio.com/channels/c3b14ff1-5115-11e7-b825-0db3c203a5f6?tab=WATCH,8,Percipio Channel Data Science Core Concepts
